title	genres	release_date	vote_average	runtime	original_language
I've Loved You So Long	" 18, 'Drama'"	3192008	7.1	115	fr
Jesus is a Palestinian	" 35, 'Comedy'"	4171999	8	110	en
Seven Pounds	" 18, 'Drama'"	12182008	7.5	123	en
Meltdown: Days of Destruction	" 28, 'Action',  18, 'Drama',  878, 'Science Fiction',  10770, 'TV Movie'"	2272006	4.8	90	en
Pin	" 27, 'Horror',  53, 'Thriller'"	11251988	6.6	103	en
Love	 " 'Null 	4212005	0	90	en
The Animal Kingdom	" 35, 'Comedy',  18, 'Drama',  10749, 'Romance'"	12281932	4.7	85	en
Andromeda Nebula	" 878, 'Science Fiction',  10749, 'Romance'"	1241967	5	77	ru
The Wrestler	" 18, 'Drama',  10749, 'Romance'"	972008	7.3	109	en
The Memory Keeper's Daughter	" 18, 'Drama'"	4122008	5.5	90	en
The Little Giant	" 28, 'Action',  35, 'Comedy',  53, 'Thriller',  80, 'Crime',  10749, 'Romance'"	5201933	6.3	76	en
Mr. Wu	" 18, 'Drama'"	3261927	5	90	en
A Chinese Ghost Story II	" 14, 'Fantasy',  18, 'Drama',  27, 'Horror',  28, 'Action',  35, 'Comedy',  10749, 'Romance'"	7131990	6.5	104	cn
Why We Fight: The Nazis Strike	" 10752, 'War',  99, 'Documentary'"	111943	7	42	he
Why We Fight: The Battle of Britain	" 99, 'Documentary',  10752, 'War',  36, 'History'"	10101943	6.5	54	en
Small Cuts	" 18, 'Drama'"	2122003	5.5	95	fr
Arabian Nights	" 12, 'Adventure',  28, 'Action',  10749, 'Romance'"	12251942	5.9	86	en
The Blackbird	" 80, 'Crime',  18, 'Drama',  10749, 'Romance'"	1111926	6.3	86	en
Why We Fight: The Battle of Russia	" 99, 'Documentary',  10752, 'War',  36, 'History'"	111943	5	83	en
The More the Merrier	" 35, 'Comedy',  10749, 'Romance'"	3261943	5.8	104	en
Tuya's Marriage	" 18, 'Drama',  10749, 'Romance',  10769, 'Foreign'"	9212006	7.6	96	zh
Face of a Fugitive	" 28, 'Action',  37, 'Western'"	511959	3.9	81	en
The Dirty Dozen: The Fatal Mission	" 12, 'Adventure',  10752, 'War',  28, 'Action'"	2141988	4.6	100	en
The Curious Case of Benjamin Button	" 14, 'Fantasy',  18, 'Drama',  53, 'Thriller',  9648, 'Mystery',  10749, 'Romance'"	11242008	7.3	166	en
Why We Fight: Divide and Conquer	" 99, 'Documentary'"	111943	5	57	en
Yes Man	" 35, 'Comedy'"	1292008	6.4	104	en
Hexed	" 35, 'Comedy',  53, 'Thriller'"	1221993	5.8	90	en
On the Rumba River	" 99, 'Documentary'"	912007	0	0	en
Valkyrie	" 18, 'Drama',  53, 'Thriller',  36, 'History',  10752, 'War'"	12252008	6.7	121	en
Birds of America	" 35, 'Comedy',  18, 'Drama'"	1092008	5.9	85	en
Pete Seeger: The Power of Song	" 99, 'Documentary'"	9142007	0	93	en
5 Centimeters per Second	" 16, 'Animation',  18, 'Drama',  10749, 'Romance'"	332007	7.3	63	ja
H.G. Wells' War of the Worlds	" 878, 'Science Fiction'"	6282005	4.4	100	en
War of the Worlds 2: The Next Wave	" 28, 'Action',  878, 'Science Fiction',  12, 'Adventure'"	112008	3.5	90	en
Constantine's Sword	" 99, 'Documentary'"	4182008	4.4	0	en
Impulse	" 9648, 'Mystery',  53, 'Thriller'"	4152008	5.1	101	en
Zamfir's Zona	" 18, 'Drama'"	10312002	7.3	104	sr
Double Dynamite	" 35, 'Comedy',  10402, 'Music'"	12251951	5.8	80	en
The Death Kiss	" 27, 'Horror',  9648, 'Mystery',  53, 'Thriller'"	1251932	3.1	75	en
Girls Rock!	" 99, 'Documentary'"	372008	0	90	en
Ben X	" 18, 'Drama'"	8262007	7	90	nl
Alien Raiders	" 27, 'Horror',  878, 'Science Fiction',  53, 'Thriller'"	9212008	5.1	85	en
Trainwreck: My Life as an Idiot	" 18, 'Drama',  35, 'Comedy',  10749, 'Romance'"	6142007	5.4	90	en
The King of Ping Pong	" 18, 'Drama'"	1182008	6.5	107	sv
Jane Austen in Manhattan	" 18, 'Drama',  10749, 'Romance'"	711980	9	108	en
Bedtime Stories	" 14, 'Fantasy',  35, 'Comedy',  10751, 'Family',  10749, 'Romance'"	12242008	5.9	99	en
Manhattan Melodrama	" 80, 'Crime',  18, 'Drama',  10749, 'Romance'"	541934	6.3	93	en
Two Days	" 35, 'Comedy',  18, 'Drama'"	512003	6.1	91	en
Choke	" 35, 'Comedy',  18, 'Drama'"	9262008	6	92	en
Revolutionary Road	" 18, 'Drama',  10749, 'Romance'"	12192008	6.8	119	en
Blackadder Back & Forth	" 35, 'Comedy',  36, 'History'"	1261999	7.1	33	en
Blackadder's Christmas Carol	" 35, 'Comedy',  36, 'History'"	111988	7.6	43	en
Loft	" 18, 'Drama',  9648, 'Mystery',  10749, 'Romance',  53, 'Thriller'"	10212008	7.1	118	nl
"Surfer, Dude"	" 35, 'Comedy'"	952008	4.7	85	en
Magnificent 7	" 18, 'Drama'"	12132005	7	85	en
Nobel Son	" 35, 'Comedy',  80, 'Crime',  18, 'Drama',  53, 'Thriller'"	4282007	6.4	110	en
Dear Zachary: A Letter to a Son About His Father	" 80, 'Crime',  99, 'Documentary'"	10312008	8.4	95	en
Wild Child	" 35, 'Comedy'"	112008	6.4	98	en
Chandu the Magician	" 28, 'Action',  12, 'Adventure',  14, 'Fantasy',  27, 'Horror',  878, 'Science Fiction',  53, 'Thriller'"	9181932	5.3	71	en
Defiance	" 28, 'Action',  18, 'Drama',  36, 'History',  10752, 'War'"	12312008	6.7	137	en
Zeitgeist: Addendum	" 99, 'Documentary',  36, 'History',  10752, 'War'"	1022008	7.2	123	en
Dr. Jack	" 35, 'Comedy'"	11261922	6.6	60	en
Marley & Me	" 35, 'Comedy',  10751, 'Family'"	12252008	6.9	115	en
The Grocer's Son	" 18, 'Drama',  35, 'Comedy'"	6152007	6.5	96	fr
Decoy	" 80, 'Crime',  18, 'Drama'"	9141946	5.4	76	en
Blackout	" 53, 'Thriller',  9648, 'Mystery'"	12262008	6.7	108	fi
Jesse Stone: Night Passage	" 10770, 'TV Movie',  18, 'Drama',  53, 'Thriller',  80, 'Crime'"	1152006	6.7	89	en
Involuntary	" 35, 'Comedy',  18, 'Drama'"	11282008	6.9	98	sv
Ponyo	" 16, 'Animation',  10751, 'Family'"	7192008	7.5	100	ja
High and Dizzy	" 35, 'Comedy'"	7111920	8.5	26	en
Now or Never	" 35, 'Comedy'"	3271921	6.5	35	en
The Good Guys and the Bad Guys	" 18, 'Drama',  28, 'Action',  35, 'Comedy',  37, 'Western'"	11191969	5.4	91	en
Six in Paris	" 35, 'Comedy',  18, 'Drama'"	5191965	7.2	95	fr
Shadow Company	" 99, 'Documentary'"	312006	5.3	86	en
Satan Met a Lady	" 35, 'Comedy',  18, 'Drama',  9648, 'Mystery'"	7221936	6.2	74	en
Jack Brooks: Monster Slayer	" 28, 'Action',  35, 'Comedy',  27, 'Horror'"	1092007	5.8	85	en
The Vanishing Point	" 18, 'Drama',  9648, 'Mystery',  53, 'Thriller'"	11282007	5.2	88	fr
Poultrygeist: Night of the Chicken Dead	" 27, 'Horror',  35, 'Comedy'"	12262006	5.9	103	en
Young Gods	" 18, 'Drama',  53, 'Thriller',  10749, 'Romance',  10769, 'Foreign'"	10242003	5.2	104	fi
The General Died at Dawn	" 53, 'Thriller',  28, 'Action',  12, 'Adventure',  80, 'Crime'"	921936	6	98	en
"Have Rocket, Will Travel"	" 35, 'Comedy',  878, 'Science Fiction'"	811959	5.8	76	en
The House of Sand	" 18, 'Drama'"	5132005	6.7	115	pt
Earthsea	" 12, 'Adventure',  18, 'Drama',  14, 'Fantasy'"	12132004	5.9	180	en
Brotherhood of Death	" 28, 'Action',  18, 'Drama'"	9141976	5	85	en
Man with the Gun	" 37, 'Western'"	1151955	5.8	83	en
American Ninja 4: The Annihilation	" 28, 'Action',  53, 'Thriller'"	10301990	4.8	99	en
Wendy and Lucy	" 18, 'Drama'"	5222008	6.4	80	en
Open Season 2	" 12, 'Adventure',  16, 'Animation',  35, 'Comedy',  10751, 'Family'"	9242008	5.6	76	en
Last Chance Harvey	" 18, 'Drama',  35, 'Comedy',  10749, 'Romance'"	12252008	6.1	92	en
Dallas	" 28, 'Action',  37, 'Western'"	12301950	5.7	94	en
Ip Man	" 18, 'Drama',  28, 'Action',  36, 'History'"	12122008	7.5	108	cn
The Dungeonmaster	" 27, 'Horror',  14, 'Fantasy',  53, 'Thriller',  878, 'Science Fiction',  9648, 'Mystery'"	8241984	5	73	en
Howling V: The Rebirth	" 27, 'Horror'"	111989	3.9	96	en
The Young Visiters	" 35, 'Comedy',  18, 'Drama',  10751, 'Family',  10749, 'Romance'"	12262003	3.8	90	en
Replicant	" 28, 'Action',  12, 'Adventure',  878, 'Science Fiction',  53, 'Thriller'"	5112001	5	100	en
The Duel at Silver Creek	" 28, 'Action',  37, 'Western'"	811952	7	77	en
The Recruiter	" 99, 'Documentary'"	1182008	6	86	en
Habana Blues	" 18, 'Drama',  10769, 'Foreign'"	3182005	6.4	115	en
Why We Fight: The Battle of China	" 10752, 'War',  99, 'Documentary'"	111944	5	62	en
Passengers	" 18, 'Drama',  9648, 'Mystery',  53, 'Thriller',  10749, 'Romance'"	9262008	5.7	93	en
The Tale of Despereaux	" 12, 'Adventure',  16, 'Animation',  10751, 'Family'"	12192008	5.8	93	en
Bride Wars	" 35, 'Comedy'"	192009	5.9	89	en
The Gamers: Dorkness Rising	" 12, 'Adventure',  35, 'Comedy',  14, 'Fantasy'"	112008	7.6	105	en
Mesrine: Killer Instinct	" 18, 'Drama',  28, 'Action',  53, 'Thriller',  80, 'Crime'"	10222008	7.3	113	fr
My Bloody Valentine	" 9648, 'Mystery',  27, 'Horror'"	1162009	5.3	101	en
Blood and Bones	" 18, 'Drama'"	1162004	5.7	140	ja
Castaway	" 12, 'Adventure',  18, 'Drama'"	351986	6.2	117	en
Island in the Sun	" 18, 'Drama',  10751, 'Family'"	6121957	6	119	en
Liberty Kid	 " 'Null 	6172007	8	92	en
De fûke	" 18, 'Drama',  10752, 'War'"	4202000	0	90	fy
Battle in Seattle	" 28, 'Action',  18, 'Drama'"	972007	6.3	99	en
Fuel	" 18, 'Drama'"	112009	0	95	en
Aspen	" 99, 'Documentary'"	111991	0	146	en
Model	" 99, 'Documentary'"	621980	5	129	en
Timecrimes	" 878, 'Science Fiction',  53, 'Thriller'"	9202007	7	92	es
Fire and Ice: The Dragon Chronicles	" 18, 'Drama',  14, 'Fantasy',  12, 'Adventure'"	9182008	4.5	84	en
The Secret of the Grain	" 35, 'Comedy',  18, 'Drama'"	12242007	7.4	151	fr
Hamlet	" 18, 'Drama'"	12102000	0	178	en
Punk's Not Dead	" 99, 'Documentary',  10402, 'Music'"	7272007	6.3	93	en
The Welts	" 18, 'Drama'"	1082004	7.9	91	pl
Grbavica: The Land of My Dreams	" 18, 'Drama',  36, 'History'"	312006	6.9	90	bs
Underworld: Rise of the Lycans	" 14, 'Fantasy',  28, 'Action',  12, 'Adventure',  878, 'Science Fiction',  53, 'Thriller'"	1222009	6.2	92	en
Inkheart	" 12, 'Adventure',  10751, 'Family',  14, 'Fantasy'"	12112008	6	106	en
Gun The Man Down	" 37, 'Western',  28, 'Action'"	11151956	6	76	en
Albuquerque	" 28, 'Action',  10749, 'Romance',  37, 'Western'"	2201948	7.1	90	en
Why We Fight: War Comes to America	" 99, 'Documentary',  10752, 'War'"	6141945	5	70	en
John Waters: This Filthy World	" 99, 'Documentary',  35, 'Comedy'"	11242006	8.2	86	en
The Soviet Story	" 99, 'Documentary',  10752, 'War',  36, 'History'"	112008	6.9	86	lv
Shoot on Sight	" 80, 'Crime',  53, 'Thriller',  18, 'Drama'"	8222008	6.2	112	en
The Alphabet Killer	" 80, 'Crime',  9648, 'Mystery',  53, 'Thriller'"	1172008	5.2	98	en
Revenge of the Nerds III: The Next Generation	" 35, 'Comedy'"	6101992	4	93	en
Revenge of the Nerds IV: Nerds In Love	" 35, 'Comedy'"	591994	3.5	92	en
Soup to Nuts	" 35, 'Comedy',  10749, 'Romance'"	9281930	3.5	70	en
Chinese Coffee	" 18, 'Drama'"	922000	6.3	99	en
Save Me	" 18, 'Drama'"	112007	5.1	96	en
The Lazarus Project	" 18, 'Drama',  53, 'Thriller'"	10212008	6	99	en
The Man	 " 'Null 	7191972	8	93	en
Galaxy Express 999	" 12, 'Adventure',  16, 'Animation',  878, 'Science Fiction'"	841979	6.2	128	en
Paul Blart: Mall Cop	" 28, 'Action',  12, 'Adventure',  35, 'Comedy',  10751, 'Family'"	1152009	5.2	91	en
Notorious	" 18, 'Drama',  10402, 'Music'"	1162009	6.6	122	en
The Unborn	" 27, 'Horror',  53, 'Thriller',  9648, 'Mystery'"	192009	4.8	87	en
Donkey Punch	" 27, 'Horror',  18, 'Drama',  53, 'Thriller',  80, 'Crime'"	7182008	4.5	99	en
Where Is Fred?	" 35, 'Comedy'"	11152006	6.1	107	de
Make It Happen	" 18, 'Drama',  10749, 'Romance'"	882008	5.4	90	en
Three Strangers	" 53, 'Thriller'"	1281946	6.2	92	en
Repo! The Genetic Opera	" 27, 'Horror',  35, 'Comedy',  10402, 'Music',  878, 'Science Fiction'"	7182008	6.7	98	en
Edge of Madness	" 18, 'Drama',  9648, 'Mystery',  53, 'Thriller'"	112002	5.8	99	en
The Uninvited	" 18, 'Drama',  27, 'Horror',  53, 'Thriller'"	1302009	6.3	87	en
Fear(s) of the Dark	" 16, 'Animation',  35, 'Comedy',  18, 'Drama',  27, 'Horror',  9648, 'Mystery',  10749, 'Romance'"	112008	6.7	85	fr
12:01	" 878, 'Science Fiction',  53, 'Thriller'"	751993	6.2	92	en
Game Over	" 80, 'Crime',  18, 'Drama',  53, 'Thriller'"	8262005	3.5	85	fi
Maria	" 18, 'Drama'"	11212003	8.3	97	en
Night Train	" 53, 'Thriller',  28, 'Action',  80, 'Crime'"	4152009	5.4	87	en
The Big Stampede	" 28, 'Action',  37, 'Western'"	1081932	3.2	54	en
Blue	" 10749, 'Romance',  37, 'Western'"	591968	6.3	113	en
The Visitor	" 18, 'Drama'"	1282008	6	105	en
Kummeli Goldrush	" 35, 'Comedy'"	1251997	6.8	96	fi
Shadow of the Holy Book	" 99, 'Documentary'"	11242007	5	90	fi
Outlander	" 14, 'Fantasy',  28, 'Action',  878, 'Science Fiction'"	4242008	6.1	115	en
Belle of the Nineties	" 18, 'Drama',  35, 'Comedy'"	9211934	4.5	70	en
Branded	" 37, 'Western'"	1131950	4.2	104	en
A Dead Calling	" 27, 'Horror'"	12122006	2	91	en
Beachhead	" 10752, 'War',  28, 'Action',  18, 'Drama'"	251954	4.7	90	en
Los signos del zodiaco	 " 'Null 	2261964	0	0	es
Passchendaele	" 18, 'Drama',  10749, 'Romance',  10752, 'War',  36, 'History'"	10172008	6.3	114	en
The Great Ecstasy of Woodcarver Steiner	" 99, 'Documentary'"	111974	7.4	45	de
Go Go Tales	" 35, 'Comedy',  18, 'Drama'"	5232007	5.4	96	en
Wrestling with Alligators	 " 'Null 	1181998	0	95	en
The Badlanders	" 37, 'Western'"	931958	6.1	83	en
Black Widow	" 18, 'Drama',  9648, 'Mystery',  10749, 'Romance',  53, 'Thriller'"	10281954	4	95	en
Bad Luck Love	" 18, 'Drama',  80, 'Crime'"	5262000	6.8	94	fi
The Grudge 3	" 9648, 'Mystery',  27, 'Horror',  53, 'Thriller'"	5122009	5.3	90	en
Indictment: The McMartin Trial	" 10770, 'TV Movie',  18, 'Drama'"	111995	6.1	135	en
Eden Lake	" 27, 'Horror',  53, 'Thriller'"	9122008	6.7	91	en
Triumph of the Nerds: The Rise of Accidental Empires	" 99, 'Documentary'"	6221996	7.5	165	en
Coraline	" 16, 'Animation',  10751, 'Family'"	252009	7.3	100	en
Psychomania	" 27, 'Horror',  10769, 'Foreign'"	151973	6.5	85	en
Point of Order!	" 99, 'Documentary'"	1141964	5	97	en
Chocolate	" 28, 'Action',  35, 'Comedy',  80, 'Crime'"	262008	7	110	th
Blackout	" 53, 'Thriller',  9648, 'Mystery'"	12262008	6.7	108	fi
TerrorVision	" 27, 'Horror',  878, 'Science Fiction',  53, 'Thriller'"	2141986	5.8	83	en
The Escapist	" 28, 'Action',  53, 'Thriller'"	6202008	6.4	102	en
Push	" 28, 'Action'"	262009	5.9	111	en
The International	" 18, 'Drama',  53, 'Thriller',  80, 'Crime'"	232009	6	118	en
Two Lovers	" 18, 'Drama',  10749, 'Romance'"	11192008	6.6	110	en
He's Just Not That Into You	" 35, 'Comedy',  10749, 'Romance',  18, 'Drama'"	262009	6.2	129	en
Jar City	" 18, 'Drama',  53, 'Thriller',  80, 'Crime'"	10202006	6.7	93	is
Dead Like Me: Life After Death	" 18, 'Drama',  14, 'Fantasy',  35, 'Comedy'"	2172009	5.8	87	en
Uuno Turhapuro	" 35, 'Comedy'"	8241973	5.7	87	fi
California	" 37, 'Western'"	2211947	6.3	97	en
Canyon Passage	" 37, 'Western'"	7171946	6.8	92	en
The Con	" 10749, 'Romance',  35, 'Comedy',  80, 'Crime',  18, 'Drama'"	341998	5	92	en
Husbands	" 35, 'Comedy',  18, 'Drama'"	1281970	6.1	131	en
The Cimarron Kid	" 37, 'Western'"	1131952	6.2	84	en
The Avenging Conscience: or 'Thou Shalt Not Kill'	" 18, 'Drama',  27, 'Horror'"	821914	6.5	78	en
Singapore Sling	" 35, 'Comedy',  18, 'Drama',  27, 'Horror'"	9131990	7.9	115	el
33 Scenes from Life	" 18, 'Drama'"	1172008	6	100	pl
Futurama: Into the Wild Green Yonder	" 16, 'Animation',  35, 'Comedy'"	2232009	7.2	90	en
The Bandit	" 80, 'Crime',  18, 'Drama',  53, 'Thriller'"	11291996	7.5	121	tr
Hotel for Dogs	" 35, 'Comedy',  10751, 'Family'"	1162009	5.7	100	en
The Deadly Trackers	" 37, 'Western'"	12211973	5	110	en
Frontier(s)	" 18, 'Drama',  27, 'Horror',  28, 'Action',  53, 'Thriller'"	712007	6	108	en
Comet in Moominland	" 16, 'Animation',  35, 'Comedy',  14, 'Fantasy'"	881992	7.3	70	ja
The 11th Hour	" 99, 'Documentary'"	8172007	6.4	95	en
Daddy	 " 'Null 	12141995	7.3	110	en
Fireflies in the Garden	" 18, 'Drama'"	2102008	6.4	108	en
Afro Samurai: Resurrection	" 16, 'Animation'"	1252009	6.7	91	en
Café Lumière	" 18, 'Drama'"	912004	6.7	103	ja
Death by Hanging	" 35, 'Comedy',  80, 'Crime',  18, 'Drama',  10769, 'Foreign'"	221968	7.5	117	ja
The Last Movie	" 18, 'Drama'"	9291971	6.5	108	en
Dry Season	" 28, 'Action',  18, 'Drama',  53, 'Thriller'"	912006	6.8	96	fr
Jesus Christ Superstar	" 18, 'Drama',  10402, 'Music'"	10162000	7.1	107	en
Trancers	" 27, 'Horror',  878, 'Science Fiction',  80, 'Crime'"	1171984	6.3	77	en
The Man Who Quit Smoking	" 35, 'Comedy'"	12161972	6.7	104	sv
Departures	" 18, 'Drama'"	9132008	7.7	130	ja
Taking Chance	" 18, 'Drama',  36, 'History',  10752, 'War'"	9212009	6.8	77	en
AmericanEast	" 18, 'Drama',  10749, 'Romance'"	11142008	6.1	112	en
My Name Is Bruce	" 35, 'Comedy',  27, 'Horror'"	1012007	5.9	86	en
Man in the Chair	" 35, 'Comedy',  18, 'Drama'"	1272007	5.3	107	en
Robinson in Space	" 99, 'Documentary',  10769, 'Foreign'"	1101997	7.5	78	en
The Way of War	" 28, 'Action',  53, 'Thriller'"	2202009	3.5	90	en
Kimberly	" 10749, 'Romance',  35, 'Comedy'"	1172000	3.7	106	en
Ralliraita	 " 'Null 	6162009	6.8	0	en
Ping Pong Playa	" 35, 'Comedy',  18, 'Drama'"	112007	6	96	en
Funny People	" 35, 'Comedy',  18, 'Drama'"	7312009	5.6	146	en
Berlin Calling	" 35, 'Comedy',  18, 'Drama',  10402, 'Music'"	1012008	7	105	de
Against the Dark	" 27, 'Horror',  28, 'Action',  53, 'Thriller',  878, 'Science Fiction'"	112009	3.7	94	en
The Letter for the King	" 10751, 'Family',  12, 'Adventure'"	7162008	7	110	nl
Firepower	" 28, 'Action',  12, 'Adventure'"	4271979	5.6	104	en
Nuremberg	" 10770, 'TV Movie',  18, 'Drama'"	7162000	7.6	180	en
Bigger Than Life	" 18, 'Drama'"	821956	7.4	95	en
Going to Kansas City	" 18, 'Drama',  10749, 'Romance'"	7311998	5	97	en
Red Sands	" 28, 'Action',  12, 'Adventure',  18, 'Drama',  36, 'History',  27, 'Horror'"	2242009	4	89	en
Show Me	" 18, 'Drama',  53, 'Thriller'"	9232004	5.6	97	en
The Lost	" 53, 'Thriller'"	112009	5	94	en
Still Waiting...	" 35, 'Comedy'"	2172009	5.1	90	en
Pistol Whipped	" 28, 'Action',  53, 'Thriller',  80, 'Crime',  18, 'Drama'"	342008	5.5	96	en
Flight of Fury	" 28, 'Action',  12, 'Adventure',  53, 'Thriller'"	2202007	4.5	98	en
The Far Horizons	" 28, 'Action',  36, 'History',  37, 'Western',  10749, 'Romance'"	5201955	4	108	en
Container	" 18, 'Drama'"	3102006	6.1	72	en
Mystery Team	" 35, 'Comedy',  53, 'Thriller',  9648, 'Mystery'"	8282009	6.4	97	en
Killer Babes	" 35, 'Comedy'"	12202007	7	100	nl
A World Without Thieves	" 28, 'Action',  18, 'Drama'"	1292004	7.1	113	zh
The Gunfight at Dodge City	" 28, 'Action',  37, 'Western'"	511959	4.3	81	en
His Private Secretary	" 35, 'Comedy',  18, 'Drama',  10749, 'Romance'"	6101933	4.1	60	en
Street Fighter: The Legend of Chun-Li	" 28, 'Action',  12, 'Adventure',  878, 'Science Fiction',  53, 'Thriller'"	2272009	3.9	97	en
Urban Justice	" 80, 'Crime',  28, 'Action',  53, 'Thriller'"	112007	5.4	96	en
Tough Enough	" 18, 'Drama',  53, 'Thriller'"	392006	7.2	99	de
Madea Goes to Jail	" 35, 'Comedy',  80, 'Crime',  18, 'Drama'"	2162009	6.4	103	en
The Black Watch	" 18, 'Drama',  12, 'Adventure'"	5221929	6.3	93	en
Away We Go	" 18, 'Drama',  35, 'Comedy',  10749, 'Romance'"	652009	6.7	98	en
Hell to Eternity	" 18, 'Drama',  10752, 'War'"	811960	10	131	en
The Unsuspected	" 18, 'Drama',  9648, 'Mystery',  53, 'Thriller'"	10111947	5.2	103	en
Thick as Thieves	" 28, 'Action',  53, 'Thriller',  80, 'Crime'"	192009	5.7	104	en
Beautiful Ohio	" 18, 'Drama'"	11102006	6.5	91	en
Il Grido	" 18, 'Drama'"	6221957	6.7	116	it
The Big Lift	" 28, 'Action',  12, 'Adventure',  18, 'Drama'"	4261950	6.5	120	en
Il Divo	" 18, 'Drama'"	5232008	7.5	110	it
Wings	" 18, 'Drama'"	111966	7	85	ru
Paris	" 18, 'Drama'"	1192008	6.5	130	fr
Adrift in Manhattan	" 18, 'Drama'"	1102007	5.7	91	en
Friday the 13th	" 27, 'Horror'"	2112009	5.7	97	en
"The Good, The Bad, The Weird"	" 28, 'Action',  12, 'Adventure',  35, 'Comedy',  37, 'Western'"	7162008	7.1	130	ko
Screamers: The Hunting	" 28, 'Action',  27, 'Horror',  878, 'Science Fiction'"	2172009	4.4	94	en
The Pink Panther 2	" 35, 'Comedy',  9648, 'Mystery'"	262009	5.4	92	en
Crips and Bloods: Made in America	" 99, 'Documentary'"	112008	7.1	93	en
Far Cry	" 28, 'Action',  878, 'Science Fiction',  53, 'Thriller'"	112008	3.1	95	en
I Manegen med Glenn Killing: Live från Berns	" 35, 'Comedy'"	9301995	0	220	sv
The English Surgeon	" 99, 'Documentary',  10769, 'Foreign'"	7242009	8.7	93	en
A Hell of a Day	" 18, 'Drama',  35, 'Comedy'"	10242001	7	92	fr
Shara	" 18, 'Drama'"	112003	5.9	100	ja
Marius	" 35, 'Comedy',  18, 'Drama'"	1091931	6.6	130	fr
The Adventures of Food Boy	" 35, 'Comedy',  10751, 'Family'"	112008	5.6	90	en
César	" 35, 'Comedy',  18, 'Drama'"	111936	9	141	fr
They Wait	" 27, 'Horror',  9648, 'Mystery',  53, 'Thriller'"	962007	5	89	en
The Rebel	" 28, 'Action',  18, 'Drama',  10769, 'Foreign'"	4272007	6.5	103	vi
Everlasting Moments	" 18, 'Drama'"	9242008	7.9	131	sv
Expecting Love	" 10749, 'Romance',  35, 'Comedy',  18, 'Drama'"	2292008	4	110	pl
Attack Force	" 28, 'Action',  53, 'Thriller'"	1252006	4.3	94	en
Shadow Man	" 28, 'Action',  12, 'Adventure',  53, 'Thriller'"	962006	4.3	91	en
Playing for Keeps	" 35, 'Comedy',  10751, 'Family'"	1031986	5	102	en
Rock-A-Doodle	" 35, 'Comedy',  10751, 'Family',  16, 'Animation',  14, 'Fantasy',  10402, 'Music'"	821991	5.3	77	en
Tokyo.sora	" 18, 'Drama'"	10262002	8.3	127	ja
Dead Silent	" 53, 'Thriller'"	111999	4.1	95	en
Dr. Horrible's Sing-Along Blog	" 12, 'Adventure',  28, 'Action',  35, 'Comedy',  878, 'Science Fiction',  10402, 'Music'"	7152008	7.8	42	en
Today You Die	" 28, 'Action',  12, 'Adventure',  53, 'Thriller'"	9132005	4	92	en
The Cottage	" 27, 'Horror',  35, 'Comedy',  80, 'Crime',  53, 'Thriller'"	272008	6.3	92	en
Two Men in Manhattan	" 80, 'Crime',  18, 'Drama',  9648, 'Mystery',  53, 'Thriller'"	10161959	6.5	84	fr
Fanny	" 35, 'Comedy',  18, 'Drama'"	1121932	6.6	140	fr
Out At The Wedding	" 10749, 'Romance'"	112007	5.6	96	en
Born to the West	" 10749, 'Romance',  37, 'Western'"	12101937	4.1	59	en
The Hasty Heart	" 18, 'Drama',  10749, 'Romance',  10752, 'War'"	1221949	6.5	102	en
Frontrunners	" 99, 'Documentary'"	10152008	0	80	en
The Quick and the Dead	" 28, 'Action',  18, 'Drama',  37, 'Western'"	2281987	5.4	90	en
Joshua Tree	" 28, 'Action',  53, 'Thriller'"	841993	5.1	106	en
Day of the Dead	" 27, 'Horror',  28, 'Action',  53, 'Thriller'"	482008	4.7	86	en
"I Love You, Man"	" 35, 'Comedy'"	3202009	6.5	105	en
The Big Steal	" 10749, 'Romance',  18, 'Drama',  53, 'Thriller',  80, 'Crime'"	791949	6.3	71	en
Billy Budd	" 18, 'Drama',  28, 'Action'"	11121962	7.8	119	en
Night Has a Thousand Eyes	" 18, 'Drama',  53, 'Thriller'"	10131948	5.8	81	en
Live Free or Die	" 28, 'Action',  35, 'Comedy',  80, 'Crime'"	3112006	5.5	89	en
Blonde Venus	" 18, 'Drama'"	991932	6.5	93	en
Dance of the Dead	" 35, 'Comedy',  27, 'Horror'"	10142008	6	87	en
The Haunting in Connecticut	" 53, 'Thriller',  27, 'Horror'"	3272009	6	102	en
The Little Engine That Could	" 28, 'Action',  12, 'Adventure',  10751, 'Family'"	111991	0	30	en
Duplicity	" 10749, 'Romance',  35, 'Comedy',  80, 'Crime'"	3192009	5.7	125	en
Knowing	" 28, 'Action',  12, 'Adventure',  18, 'Drama',  9648, 'Mystery',  878, 'Science Fiction',  53, 'Thriller'"	3192009	5.9	121	en
Sugar	" 18, 'Drama'"	432009	6.5	120	en
Young Thugs: Nostalgia	" 18, 'Drama',  28, 'Action',  35, 'Comedy',  10769, 'Foreign'"	9261998	6.1	94	ja
Praying With Lior	 " 'Null 	6172008	0	87	en
Ong Bak 2	" 12, 'Adventure',  28, 'Action',  53, 'Thriller'"	1242008	5.9	98	th
The Girl with the Dragon Tattoo	" 18, 'Drama',  53, 'Thriller',  80, 'Crime',  9648, 'Mystery'"	2272009	7.4	152	sv
Bloodbath at the House of Death	" 35, 'Comedy',  27, 'Horror'"	3291984	5.6	91	en
